name,lon_deg,lat_deg,alt_m
ant00,21.443120,-30.713220,1086.0
ant01,21.442640,-30.712880,1086.0
ant02,21.443980,-30.712470,1086.0
ant03,21.444360,-30.713610,1086.0
ant04,21.442210,-30.713940,1086.0
ant05,21.441780,-30.712260,1086.0
ant06,21.444910,-30.711980,1086.0
ant07,21.445380,-30.713040,1086.0
ant08,21.442980,-30.714680,1086.0
ant09,21.440920,-30.713480,1086.0
ant10,21.441260,-30.711630,1086.0
ant11,21.443540,-30.710980,1086.0
ant12,21.446120,-30.711350,1086.0
ant13,21.446740,-30.713170,1086.0
ant14,21.445860,-30.715080,1086.0
ant15,21.443960,-30.715880,1086.0
ant16,21.441540,-30.715420,1086.0
ant17,21.439880,-30.714360,1086.0
ant18,21.439620,-30.712520,1086.0
ant19,21.440540,-30.710920,1086.0
ant20,21.442340,-30.709980,1086.0
ant21,21.444660,-30.709620,1086.0
ant22,21.447280,-30.710540,1086.0
ant23,21.448620,-30.712180,1086.0
ant24,21.448050,-30.714120,1086.0
ant25,21.446840,-30.716180,1086.0
ant26,21.444520,-30.717020,1086.0
ant27,21.441880,-30.716860,1086.0
ant28,21.439720,-30.715940,1086.0
ant29,21.438640,-30.714020,1086.0
ant30,21.438420,-30.711860,1086.0
ant31,21.439360,-30.709920,1086.0
ant32,21.441180,-30.708660,1086.0
ant33,21.443880,-30.708240,1086.0
ant34,21.446460,-30.708980,1086.0
ant35,21.449140,-30.710960,1086.0
